scenario,lam,algo,n_runs,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_total_stopped_mean,system_total_stopped_std,system_mean_speed_mean,system_mean_speed_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_safety_brake_mean,system_safety_brake_std,system_safety_exposure_mean,system_safety_exposure_std,system_safety_total_mean,system_safety_total_std
offpeak,00,fixedtime,1,0.3869046691099503,,1.1276005547850207,,10.395411544056506,,5.585298196948682,,0.23661581137309295,,0.0,,0.23661581137309295,
offpeak,05,fixedtime,1,0.3869046691099503,,1.1276005547850207,,10.395411544056506,,5.585298196948682,,0.23661581137309295,,0.0,,0.23661581137309295,
offpeak,05,dqn,5,0.47690568449788745,0.014790338615081949,1.2371705963938973,0.03728066589657597,10.502838136129142,0.04852567053486901,7.119556171983357,0.24761535316796088,0.19622746185852982,0.007301274397275817,0.0,0.0,0.19622746185852982,0.007301274397275817
offpeak,05,ppo,5,1.757256592310658,0.07444637342116546,2.0954230235783635,0.04040562569645562,10.013504074712253,0.05341924227475132,25.895145631067958,0.9923039062820359,0.16596393897364772,0.01446024036065091,0.0,0.0,0.16596393897364772,0.01446024036065091
offpeak,05,qrdqn,5,1.9851192574369958,0.22977959895603406,2.2527045769764213,0.1851774212524994,9.905824851606647,0.1208917680738352,29.987517337031896,4.606789487558187,0.17464632454923718,0.012872028751308282,0.0,0.0,0.17464632454923718,0.012872028751308282
offpeak,05,a2c,5,36.00644607382094,1.4990953085800596,20.505686546463245,0.796243109487412,4.746166597871105,0.09405213068458669,1416.9284327323162,96.23997127872401,0.23045769764216364,0.01677066575794017,0.0,0.0,0.23045769764216364,0.01677066575794017
offpeak,10,fixedtime,1,0.3869046691099503,,1.1276005547850207,,10.395411544056506,,5.585298196948682,,0.23661581137309295,,0.0,,0.23661581137309295,
peak,00,fixedtime,1,1319.1728631363671,,538.8904299583911,,0.6453814261925557,,826208.6768377253,,0.20582524271844657,,0.0,,0.20582524271844657,
peak,05,dqn,5,1002.7599452371463,401.54920029385465,432.895145631068,137.85086582295608,1.0945446413661148,0.7257266198642692,577484.8269070735,271251.91639815544,0.3894313453536754,0.274161073945522,0.0,0.0,0.3894313453536754,0.274161073945522
peak,05,a2c,5,1003.3257937881978,86.14135565789454,509.18862690707346,18.63506417467798,0.5770807936402816,0.040716685042230256,630074.0396671289,52539.60570564185,0.23991678224687935,0.04304909233993243,0.0,0.0,0.23991678224687935,0.04304909233993243
peak,05,fixedtime,1,1319.1728631363671,,538.8904299583911,,0.6453814261925557,,826208.6768377253,,0.20582524271844657,,0.0,,0.20582524271844657,
peak,05,ppo,5,1356.5280667097654,45.02821818429458,285.7697642163661,16.177622231764296,1.1405971897696836,0.04382353823869318,456668.8981969487,17247.254344341294,0.24871012482662969,0.012518979379810998,0.0,0.0,0.24871012482662969,0.012518979379810998
peak,05,qrdqn,5,1400.687471094199,4.9227944780978365,277.6327323162275,6.7731317144119725,1.1259520769915359,0.01463130940204354,453326.413592233,10801.887096280196,0.22496532593619972,0.007969907294623376,0.0,0.0,0.22496532593619972,0.007969907294623376
peak,10,fixedtime,1,1319.1728631363671,,538.8904299583911,,0.6453814261925557,,826208.6768377253,,0.20582524271844657,,0.0,,0.20582524271844657,
