step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.417166886884653,0,0.0,0.9268679144410811,0,0.0
10.0,0,0.0,0.0,12.738313041760213,0,0.0,0.9454468558661321,0,0.0
15.0,0,0.0,0.0,11.362950622886054,0,0.0,0.8357890486662811,0,0.0
20.0,2,3.0,0.15,8.386202187513366,2,3.0,0.665637056545734,2,3.0
25.0,5,20.0,0.7692307692307693,8.616625668261616,4,17.0,0.6364326778365729,4,17.0
30.0,6,44.0,1.5172413793103448,9.228202380911542,6,45.0,0.6150435624674773,6,45.0
35.0,8,78.0,2.4375,9.292199288705335,8,79.0,0.5864162219349528,8,79.0
40.0,2,7.0,0.21212121212121213,9.60726919688312,1,23.0,0.821432374545743,1,23.0
45.0,3,4.0,0.12903225806451613,9.845497040940774,2,3.0,0.7530610244259164,2,3.0
50.0,7,25.0,0.7352941176470589,9.8342371046118,6,19.0,0.6124427084498715,6,19.0
55.0,0,0.0,0.0,10.023258928717206,0,10.0,0.7760686888614545,0,10.0
60.0,3,9.0,0.28125,9.892626245201388,0,0.0,0.8467084737454108,0,0.0
65.0,5,19.0,0.5757575757575758,8.515289418963867,4,9.0,0.5961232326163708,4,9.0
70.0,9,42.0,1.2727272727272727,8.474148884563565,9,42.0,0.5037084474141011,9,42.0
75.0,0,0.0,0.0,9.437785416129115,0,5.0,0.7024954825408948,0,5.0
80.0,9,18.0,0.5294117647058824,9.1169782034275,6,13.0,0.5104721994573846,6,13.0
85.0,9,60.0,1.8181818181818181,8.861356871872607,7,47.0,0.5572244301213003,7,47.0
90.0,3,4.0,0.12121212121212122,8.122238447377981,2,23.0,0.531213340559204,2,23.0
95.0,8,26.0,0.7428571428571429,8.186239985660835,4,19.0,0.6470389040060883,4,19.0
100.0,12,77.0,2.026315789473684,8.237389552057603,7,49.0,0.6643380532480935,7,49.0
105.0,12,133.0,3.5,8.191680601939526,8,86.0,0.5784090510424788,8,86.0
110.0,2,4.0,0.10526315789473684,7.1357804805957485,2,53.0,0.464916297013594,2,53.0
115.0,11,41.0,1.1388888888888888,6.4838867561015725,6,28.0,0.3328075197983744,6,28.0
120.0,11,86.0,2.263157894736842,7.850041629241402,7,60.0,0.4920801228075658,7,60.0
125.0,2,4.0,0.09302325581395349,9.240908287838447,2,27.0,0.7160997350394778,2,27.0
130.0,5,22.0,0.5365853658536586,10.551495539379438,4,21.0,0.7545353805711079,4,21.0
135.0,8,48.0,1.2972972972972974,8.837690718156239,6,43.0,0.55603101188582,6,43.0
140.0,9,81.0,2.189189189189189,7.883559372291824,9,78.0,0.39501050647089947,9,78.0
145.0,3,3.0,0.08108108108108109,8.382083436792337,1,22.0,0.5975287994585773,1,22.0
150.0,6,23.0,0.6571428571428571,8.964653972116496,3,16.0,0.6824908592072992,3,16.0
