step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,1,1.0,0.02631578947368421,10.146066836252933,1,10.0,0.7946311895342607,1,10.0
160.0,2,8.0,0.24242424242424243,11.074515715910952,1,6.0,0.8194534142802322,1,6.0
165.0,4,23.0,0.71875,9.783377308291703,3,10.0,0.6182503639190963,3,10.0
170.0,2,3.0,0.08108108108108109,9.961426049529383,2,3.0,0.7001066131856495,2,3.0
175.0,2,10.0,0.30303030303030304,10.991596935992648,1,6.0,0.8214070222839673,1,6.0
180.0,1,11.0,0.4074074074074074,11.005386418327,1,11.0,0.7041722870447157,1,11.0
185.0,1,1.0,0.03125,10.211845576345532,0,0.0,0.860159025662992,0,0.0
190.0,3,10.0,0.3225806451612903,10.177517688925585,0,0.0,0.7782599337158452,0,0.0
195.0,4,23.0,0.7666666666666667,9.725507455355434,2,9.0,0.6895648662450741,2,9.0
200.0,2,5.0,0.15151515151515152,9.775488241288068,2,6.0,0.7021635242144334,2,6.0
205.0,4,17.0,0.5862068965517241,9.930161415688895,4,17.0,0.7132049792464528,4,17.0
210.0,5,39.0,1.3,8.37407749612631,5,39.0,0.4565122166598341,5,39.0
215.0,1,2.0,0.06451612903225806,8.937263387120716,1,15.0,0.6447802862105522,1,15.0
220.0,3,9.0,0.2647058823529412,10.617923524106073,2,7.0,0.8216641529111804,2,7.0
225.0,3,24.0,0.7058823529411765,10.107966672876735,2,17.0,0.6627666341938552,2,17.0
230.0,1,2.0,0.058823529411764705,10.083339679178874,1,5.0,0.7125228060807198,1,5.0
235.0,4,11.0,0.36666666666666664,9.183840184966877,3,10.0,0.5659977308523059,3,10.0
240.0,8,41.0,1.4137931034482758,8.606164750567068,7,35.0,0.45101806504709546,7,35.0
245.0,1,1.0,0.02702702702702703,9.989482647232574,1,9.0,0.7750368855193711,1,9.0
250.0,5,13.0,0.40625,10.147738369980452,2,7.0,0.7793783393116049,2,7.0
255.0,4,28.0,0.8484848484848485,10.092263909804394,3,22.0,0.7208091574762584,3,22.0
260.0,8,58.0,1.7575757575757576,7.665552064511978,7,47.0,0.3986602537917575,7,47.0
265.0,1,1.0,0.029411764705882353,9.441520515090787,1,14.0,0.7965174664107147,1,14.0
270.0,3,10.0,0.30303030303030304,10.469214215803293,2,7.0,0.7293545287178888,2,7.0
275.0,4,23.0,0.6052631578947368,11.06567070323563,4,23.0,0.7261953580181438,4,23.0
280.0,1,1.0,0.02702702702702703,10.489468346442774,1,1.0,0.803328744091972,1,1.0
285.0,1,6.0,0.21428571428571427,10.531784745941696,1,6.0,0.8456447813745513,1,6.0
290.0,5,19.0,0.5588235294117647,9.43922543684843,4,16.0,0.6035327573556535,4,16.0
295.0,7,49.0,1.53125,9.222906690142512,7,49.0,0.5408812904004405,7,49.0
300.0,1,1.0,0.034482758620689655,9.323760493909685,1,20.0,0.7267799096152625,1,20.0
305.0,3,11.0,0.3548387096774194,9.472702269145403,1,6.0,0.678401211522788,1,6.0
310.0,6,25.0,0.78125,9.011491794835973,6,25.0,0.5215559365544697,6,25.0
315.0,1,1.0,0.027777777777777776,9.638290976256533,0,9.0,0.7753614119330895,0,9.0
320.0,5,18.0,0.5454545454545454,9.095216950914025,3,8.0,0.6149164913771261,3,8.0
325.0,10,63.0,1.8,9.374988533394637,8,43.0,0.5812519960844296,8,43.0
330.0,2,5.0,0.15625,8.204401461263348,2,19.0,0.4728044646228364,2,19.0
335.0,9,37.0,1.088235294117647,8.230377578000398,7,31.0,0.5808438856126783,7,31.0
340.0,10,86.0,2.324324324324324,8.614070820081222,7,66.0,0.6038236687225141,7,66.0
345.0,1,1.0,0.027777777777777776,9.7313157608183,0,17.0,0.8155670160462282,0,17.0
350.0,5,12.0,0.35294117647058826,9.613090998396459,3,5.0,0.6427637491643369,3,5.0
355.0,7,39.0,1.1142857142857143,9.284843917175667,6,30.0,0.5340662049339756,6,30.0
360.0,0,0.0,0.0,10.0058706236706,0,0.0,0.7457914201489039,0,0.0
365.0,5,12.0,0.3333333333333333,10.478102024328983,1,1.0,0.8152235647720056,1,1.0
370.0,3,17.0,0.5,10.166109038867337,2,10.0,0.7496495931822149,2,10.0
375.0,0,0.0,0.0,11.031967057167988,0,0.0,0.860711795228319,0,0.0
380.0,5,10.0,0.3333333333333333,9.214906268990557,4,9.0,0.5530789640401237,4,9.0
385.0,6,35.0,1.0606060606060606,10.064221370530205,6,33.0,0.6188324359060139,6,33.0
390.0,1,4.0,0.12121212121212122,9.894817330040311,1,11.0,0.7393447142494054,1,11.0
395.0,5,21.0,0.7,10.008634469803132,3,14.0,0.782063490050081,3,14.0
400.0,3,29.0,0.90625,9.734995652592094,3,29.0,0.6566124797387152,3,29.0
405.0,2,3.0,0.09090909090909091,8.7478149105494,2,6.0,0.577570535663868,2,6.0
410.0,8,26.0,0.7647058823529411,9.282142132462344,5,19.0,0.6093908281577758,5,19.0
415.0,6,49.0,1.4,9.403868338676181,6,49.0,0.5607332407195191,6,49.0
420.0,1,12.0,0.36363636363636365,9.879193213869879,1,24.0,0.7306360829966303,1,24.0
425.0,3,8.0,0.23529411764705882,9.67984849284997,2,4.0,0.693421797348186,2,4.0
430.0,6,24.0,0.7272727272727273,9.491924156084169,6,22.0,0.5470680120369797,6,22.0
435.0,3,8.0,0.21621621621621623,9.557901316443875,2,15.0,0.7072428324641448,2,15.0
440.0,6,19.0,0.59375,8.974360702325962,4,14.0,0.6049518870529603,4,14.0
445.0,7,52.0,1.625,8.752859408848476,6,43.0,0.5925437697665155,6,43.0
450.0,3,4.0,0.125,8.23819934091287,2,11.0,0.526774392494899,2,11.0
455.0,8,34.0,0.9714285714285714,8.81794994408559,6,27.0,0.6331944301197515,6,27.0
460.0,8,66.0,1.736842105263158,9.088200308353752,7,59.0,0.6338888119747931,7,59.0
465.0,1,13.0,0.35135135135135137,9.506854717006815,1,33.0,0.7055731655714556,1,33.0
470.0,7,17.0,0.4594594594594595,8.998458631179613,4,8.0,0.6737266910523838,4,8.0
475.0,7,41.0,1.2424242424242424,7.951163765349358,5,31.0,0.42605076988237467,5,31.0
480.0,1,1.0,0.029411764705882353,8.564386146989918,1,23.0,0.552909554789676,1,23.0
485.0,5,17.0,0.4358974358974359,9.992602018594479,2,13.0,0.7441708656221109,2,13.0
490.0,5,35.0,1.0,10.144642905755159,4,27.0,0.7428117415504123,4,27.0
495.0,1,1.0,0.029411764705882353,9.105235064081626,1,1.0,0.6791529242974377,1,1.0
500.0,5,17.0,0.5151515151515151,9.00932503925748,4,16.0,0.5439634932621559,4,16.0
505.0,7,49.0,1.4411764705882353,9.603201563328877,6,45.0,0.5854769465704164,6,45.0
510.0,0,0.0,0.0,9.718554508763797,0,19.0,0.7119896713506666,0,19.0
515.0,2,4.0,0.11764705882352941,10.44200670972762,2,4.0,0.7972022039254872,2,4.0
520.0,5,24.0,0.7272727272727273,9.985022807998638,4,19.0,0.6912761918425898,4,19.0
525.0,1,2.0,0.06060606060606061,9.180371211070092,1,2.0,0.6960439870628895,1,2.0
530.0,6,23.0,0.6764705882352942,8.932059595018256,4,16.0,0.6041954066463927,4,16.0
535.0,8,56.0,1.6470588235294117,9.337659731034073,7,46.0,0.6008809261820794,7,46.0
540.0,0,0.0,0.0,9.257519909425582,0,10.0,0.6951250504201737,0,10.0
545.0,5,17.0,0.4857142857142857,9.23567922184404,3,10.0,0.6243001082356135,3,10.0
550.0,8,46.0,1.3142857142857143,9.017513311468603,7,38.0,0.5787531502392257,7,38.0
555.0,0,0.0,0.0,9.61285938307311,0,20.0,0.7582188492865213,0,20.0
560.0,3,12.0,0.35294117647058826,9.650556419506174,2,8.0,0.6488902177205157,2,8.0
565.0,7,41.0,1.2424242424242424,9.70999638948318,6,32.0,0.5597793464904134,6,32.0
570.0,0,0.0,0.0,9.30903773267533,0,8.0,0.6071213885467597,0,8.0
575.0,8,31.0,1.0,9.025925552323516,6,23.0,0.5974658544119145,6,23.0
580.0,8,62.0,1.7222222222222223,9.167555051420527,7,54.0,0.6166524639469522,7,54.0
585.0,3,4.0,0.10810810810810811,9.134586105853765,1,7.0,0.7544023231574276,1,7.0
590.0,5,18.0,0.5625,9.41630228322161,3,9.0,0.6547194471981881,3,9.0
595.0,6,37.0,1.15625,8.55668614754678,6,35.0,0.5363819088262658,6,35.0
600.0,1,10.0,0.30303030303030304,9.194846713764832,1,17.0,0.5673779092487277,1,17.0
605.0,2,7.0,0.19444444444444445,10.939071746013386,1,5.0,0.8327761463309551,1,5.0
610.0,3,16.0,0.45714285714285713,10.942313359731564,3,16.0,0.7381666842685961,3,16.0
615.0,1,1.0,0.02857142857142857,10.434297508185335,1,1.0,0.7700273820854528,1,1.0
620.0,7,18.0,0.6,8.186077291356721,6,15.0,0.447718279222078,6,15.0
625.0,7,47.0,1.46875,9.580805965647196,7,47.0,0.6039599542365469,7,47.0
630.0,1,1.0,0.030303030303030304,9.855664423966159,0,11.0,0.745797937370894,0,11.0
635.0,4,17.0,0.5,10.869324559363351,2,9.0,0.8118305009216812,2,9.0
640.0,4,22.0,0.6875,10.181395249116061,4,22.0,0.6666259771805991,4,22.0
645.0,2,2.0,0.06060606060606061,9.071749166171854,1,5.0,0.6657895720976915,1,5.0
650.0,5,15.0,0.42857142857142855,8.694971512424637,3,9.0,0.6234898301084818,3,9.0
655.0,11,57.0,1.78125,8.37132165507586,8,37.0,0.517566938965149,8,37.0
660.0,2,9.0,0.2647058823529412,9.620163119001974,1,16.0,0.7561624834380807,1,16.0
665.0,3,11.0,0.3235294117647059,9.164587770869533,0,0.0,0.7028583905337806,0,0.0
670.0,7,28.0,0.8484848484848485,9.381594825628081,5,10.0,0.6167495314582995,5,10.0
675.0,0,0.0,0.0,9.660294272855554,0,9.0,0.7163600792467685,0,9.0
680.0,7,21.0,0.6176470588235294,8.665868944947233,5,15.0,0.6131577358909566,5,15.0
685.0,8,55.0,1.5714285714285714,8.8357567227303,6,43.0,0.5874727877031988,6,43.0
690.0,2,4.0,0.12121212121212122,8.037787292339651,2,21.0,0.5777593319098748,2,21.0
695.0,6,29.0,0.8055555555555556,8.960236718070185,4,21.0,0.6093305864267436,4,21.0
