controller,ratio,seed,delay_per_trip,trips
green_wave,0.5,42,16.584376494704546,2927
green_wave,0.5,43,16.915097315436253,2980
green_wave,0.5,44,16.710870604301853,2929
green_wave,0.5,45,16.909312390924995,2865
green_wave,0.5,46,16.49976141078842,2892
green_wave,0.55,42,16.92192412850309,2926
green_wave,0.55,43,17.45752348993288,2980
green_wave,0.55,44,17.010013665869458,2927
green_wave,0.55,45,17.16740663176266,2865
green_wave,0.55,46,16.990425458318942,2891
green_wave,0.6,42,21.709585474477578,2919
green_wave,0.6,43,22.4569408999329,2978
green_wave,0.6,44,21.97760616438359,2920
green_wave,0.6,45,22.137816212438878,2862
green_wave,0.6,46,21.813679473866376,2889
green_wave,0.65,42,24.665948542024054,2915
green_wave,0.65,43,25.500759408602168,2976
green_wave,0.65,44,24.74563100137173,2916
green_wave,0.65,45,25.026322603219114,2858
green_wave,0.65,46,24.56321552321554,2886
green_wave,0.7,42,20.003913639479105,2918
green_wave,0.7,43,20.624821668909835,2972
green_wave,0.7,44,20.312710472279253,2922
green_wave,0.7,45,20.441250436604943,2863
green_wave,0.7,46,19.93085813148795,2890
green_wave,0.75,42,18.589773972602735,2920
green_wave,0.75,43,18.96713613445375,2975
green_wave,0.75,44,18.752211965811966,2925
green_wave,0.75,45,18.960960195530713,2864
green_wave,0.75,46,18.48543094496364,2889
green_wave,0.8,42,17.006414900888597,2926
green_wave,0.8,43,17.32785426460712,2978
green_wave,0.8,44,16.891004784689002,2926
green_wave,0.8,45,17.104788830715552,2865
green_wave,0.8,46,16.81379799377382,2891
green_wave,0.9,42,21.085576857240678,2921
green_wave,0.9,43,21.85388104838714,2976
green_wave,0.9,44,21.246799177518824,2918
green_wave,0.9,45,21.4473638268156,2864
green_wave,0.9,46,21.032771626297563,2890
max_pressure,0.5,42,21.767342681258533,2924
max_pressure,0.5,43,22.660540812898894,2977
max_pressure,0.5,44,22.954244604316557,2919
max_pressure,0.5,45,21.287006636395407,2863
max_pressure,0.5,46,21.564861687413604,2892
max_pressure,0.55,42,18.732121418826754,2932
max_pressure,0.55,43,19.117761744966426,2980
max_pressure,0.55,44,22.023255574614062,2915
max_pressure,0.55,45,24.491447046487217,2861
max_pressure,0.55,46,23.807420360110783,2888
max_pressure,0.6,42,21.69933333333336,2925
max_pressure,0.6,43,22.017963087248333,2980
max_pressure,0.6,44,20.845624358535797,2923
max_pressure,0.6,45,25.037596086652684,2862
max_pressure,0.6,46,25.520408728784158,2887
max_pressure,0.65,42,25.31257809818049,2913
max_pressure,0.65,43,25.38241843255967,2973
max_pressure,0.65,44,25.973982905982904,2925
max_pressure,0.65,45,24.716949685534562,2862
max_pressure,0.65,46,25.163613998614046,2886
max_pressure,0.7,42,25.69390243902443,2911
max_pressure,0.7,43,25.832226338834683,2969
max_pressure,0.7,44,26.910537855429926,2919
max_pressure,0.7,45,27.85116270949721,2864
max_pressure,0.7,46,26.855945195976357,2883
max_pressure,0.75,42,22.88484765491269,2921
max_pressure,0.75,43,24.48450690003364,2971
max_pressure,0.75,44,26.24864041095889,2920
max_pressure,0.75,45,29.559930069930132,2860
max_pressure,0.75,46,29.871618717504386,2885
max_pressure,0.8,42,21.97140410958906,2920
max_pressure,0.8,43,20.314574503868155,2973
max_pressure,0.8,44,20.454710913445112,2923
max_pressure,0.8,45,22.437705204331078,2863
max_pressure,0.8,46,22.92178830854377,2891
max_pressure,0.9,42,23.235001716443517,2913
max_pressure,0.9,43,24.0985057085293,2978
max_pressure,0.9,44,22.21414217361583,2926
max_pressure,0.9,45,23.505548567435305,2862
max_pressure,0.9,46,24.168437283437264,2886
idqn,0.5,42,19.7646682626539,2924
idqn,0.5,43,19.273583193277364,2975
idqn,0.5,44,19.636314529914554,2925
idqn,0.55,42,19.49060606060609,2937
idqn,0.55,43,19.4001943048576,2985
idqn,0.55,44,19.133587812392964,2921
idqn,0.6,42,19.448363512128427,2927
idqn,0.6,43,19.664869215291713,2982
idqn,0.6,44,18.56131830601092,2928
idqn,0.65,42,19.509107449364922,2913
idqn,0.65,43,19.270060301507545,2985
idqn,0.65,44,18.88795890410955,2920
idqn,0.7,42,19.034442538593492,2915
idqn,0.7,43,19.326685695097375,2978
idqn,0.7,44,17.864395078605654,2926
idqn,0.75,42,18.4389696349369,2931
idqn,0.75,43,19.383648558014784,2982
idqn,0.75,44,18.435583704210927,2921
idqn,0.8,42,18.759812606473584,2935
idqn,0.8,43,19.38328854551559,2977
idqn,0.8,44,18.255136798905607,2924
idqn,0.9,42,18.570289805659765,2933
idqn,0.9,43,19.379520295202937,2981
idqn,0.9,44,18.762610331850844,2923
