controller,seed,incident,whole_episode_delay,whole_episode_trips,window_delay,window_trips
green_wave,42,False,13.444853940217376,2944,13.720171052631597,760
green_wave,42,True,14.476447010869569,2944,16.975302631578927,760
green_wave,43,False,13.51903236569904,2997,13.210186666666665,750
green_wave,43,True,14.80266933600269,2997,18.379893333333342,750
green_wave,44,False,13.4506137673788,2949,13.415734265734251,715
green_wave,44,True,14.52858935232282,2949,17.6106853146853,715
max_pressure,42,False,29.236263623978207,2936,28.669960526315805,760
max_pressure,42,True,26.67093505610337,2941,24.1350263157895,760
max_pressure,43,False,21.888832385413142,2989,22.064826666666654,750
max_pressure,43,True,26.45607382550335,2980,32.21011999999999,750
max_pressure,44,False,28.02202044293018,2935,28.445986013986005,715
max_pressure,44,True,28.639611451942823,2934,30.908237762237768,715
idqn,42,False,16.951864176570503,2945,16.555565789473693,760
idqn,42,True,17.66555442176877,2940,18.10880263157896,760
idqn,43,False,16.49042460715478,2991,17.061893333333312,750
idqn,43,True,16.78445001671682,2991,17.48814666666665,750
idqn,44,False,16.244098305084723,2950,16.436335664335672,715
idqn,44,True,16.696307222787393,2949,17.84995804195804,715
