controller,scenario,seed,min_green,delay_per_trip,trips,wall_s
ippo,corridor_peak,42,10,35.24697278911568,2940,692.535365041
ippo,corridor_peak,43,10,31.835524732620332,2992,944.205383333
ippo,corridor_peak,44,10,35.990526852481274,2942,1128.862347667
ippo,corridor_peak,45,10,33.552900629811056,2858,1082.5175612079995
ippo,corridor_peak,46,10,35.616258243665364,2881,1034.098521584
ippo,corridor_peak,47,10,32.38179797979792,2970,931.4123718749996
ippo,corridor_peak,48,10,38.78724804886335,2947,1240.5409448750006
ippo,corridor_peak,49,10,37.386363314447635,2824,1052.7500764170009
ippo,corridor_peak,50,10,38.95873253833045,2935,901.563393542001
ippo,corridor_peak,51,10,39.44076950480938,2807,903.6356649159987
ippo,corridor_tidal,42,10,32.02354081632655,2940,889.929036333
ippo,corridor_tidal,43,10,33.79629134647517,2993,1149.374596042
ippo,corridor_tidal,44,10,33.173426525741576,2933,1105.9736064580002
ippo,corridor_tidal,45,10,41.668690934546774,2857,1052.4443502089998
ippo,corridor_tidal,46,10,35.32647120055522,2882,922.0274943329996
ippo,corridor_tidal,47,10,33.5386138279933,2965,1232.3391794999998
ippo,corridor_tidal,48,10,36.3287832310838,2934,1111.3690615839996
ippo,corridor_tidal,49,10,34.56178014184396,2820,879.4099088330004
ippo,corridor_tidal,50,10,35.59291182501717,2926,931.8439633750004
ippo,corridor_tidal,51,10,40.01405067808707,2802,761.5385216659997
