controller,scenario,seed,min_green,delay_per_trip,trips,wall_s
green_wave,corridor_peak,42,10,21.1511179068977,2943,28.432838500000003
green_wave,corridor_peak,43,10,21.325174991505293,2943,28.521318042
green_wave,corridor_peak,44,10,21.00806999660208,2943,28.854118042000003
green_wave,corridor_peak,45,10,21.16856317934785,2944,28.64125629199999
green_wave,corridor_peak,46,10,21.11561331974172,2943,27.974035334000007
green_wave,corridor_peak,47,10,21.162339558573837,2945,28.55073604100002
green_wave,corridor_peak,48,10,21.269758749575317,2943,28.14052358400002
green_wave,corridor_peak,49,10,21.08157823129248,2940,28.58506604199999
green_wave,corridor_peak,50,10,21.04241590214069,2943,28.579002499999973
green_wave,corridor_peak,51,10,21.069344429347876,2944,28.368679875
max_pressure,corridor_peak,42,10,28.110013619339437,2937,31.85506350000003
max_pressure,corridor_peak,43,10,27.849741408642423,2939,31.153136292
max_pressure,corridor_peak,44,10,28.229076346284938,2934,31.12621329199999
max_pressure,corridor_peak,45,10,28.007642055120765,2939,30.826176708000048
max_pressure,corridor_peak,46,10,27.99209056860738,2937,30.680999625000027
max_pressure,corridor_peak,47,10,28.18629465804693,2939,30.609463500000004
max_pressure,corridor_peak,48,10,27.966216400136148,2939,30.185086832999957
max_pressure,corridor_peak,49,10,29.1943358310626,2936,30.32121645899997
max_pressure,corridor_peak,50,10,28.108443460490413,2936,30.090179292000016
max_pressure,corridor_peak,51,10,28.118675068119902,2936,29.89058779200002
green_wave,corridor_peak,42,20,34.74737453055644,2929,30.707014250000043
green_wave,corridor_peak,43,20,34.3166735042734,2925,30.73688241700006
green_wave,corridor_peak,44,20,34.856083390293854,2926,31.03337937499998
green_wave,corridor_peak,45,20,34.390941979522246,2930,31.189419208000004
green_wave,corridor_peak,46,20,34.39227272727277,2926,30.704195416999937
green_wave,corridor_peak,47,20,34.41015053027704,2923,31.360777833000043
green_wave,corridor_peak,48,20,34.30047846889953,2926,30.705650375000005
green_wave,corridor_peak,49,20,34.801431499829214,2927,31.394438207999997
green_wave,corridor_peak,50,20,34.83543218312271,2927,31.5545609159999
green_wave,corridor_peak,51,20,34.491024590163924,2928,31.613988707999965
max_pressure,corridor_peak,42,20,25.019737738419643,2936,28.720115750000105
max_pressure,corridor_peak,43,20,25.16102040816328,2940,28.362745667000013
max_pressure,corridor_peak,44,20,24.981957780047686,2937,28.409249875
max_pressure,corridor_peak,45,20,24.86206873086088,2939,28.55338779200008
max_pressure,corridor_peak,46,20,24.93002379333789,2942,28.400538832999928
max_pressure,corridor_peak,47,20,24.8657050408719,2936,28.66320841699985
max_pressure,corridor_peak,48,20,24.87033026898199,2937,29.085923957999967
max_pressure,corridor_peak,49,20,25.012545083361665,2939,29.325852208999777
max_pressure,corridor_peak,50,20,24.66293837248892,2937,29.535546750000098
max_pressure,corridor_peak,51,20,25.226251276813056,2937,29.15796708300013
green_wave,corridor_peak,42,30,36.21873508353221,2933,31.46893620900005
green_wave,corridor_peak,43,30,36.56455691888217,2934,31.599163708000106
green_wave,corridor_peak,44,30,36.31975759644925,2929,31.90810691599995
green_wave,corridor_peak,45,30,36.11484332425064,2936,31.42972283299991
green_wave,corridor_peak,46,30,36.35832482124612,2937,31.78134720800017
green_wave,corridor_peak,47,30,36.650040927694285,2932,31.623276667000027
green_wave,corridor_peak,48,30,36.52150801774145,2931,31.746254917000215
green_wave,corridor_peak,49,30,36.26159400544958,2936,32.098168000000214
green_wave,corridor_peak,50,30,36.48178997613368,2933,31.446589750000157
green_wave,corridor_peak,51,30,36.640705040871936,2936,31.767544416999954
max_pressure,corridor_peak,42,30,40.69404306220095,2926,33.484387292000065
max_pressure,corridor_peak,43,30,40.74483418803411,2925,33.485808417000044
max_pressure,corridor_peak,44,30,40.30533698255215,2923,33.41463408300001
max_pressure,corridor_peak,45,30,40.35377648667119,2926,33.512766959000146
max_pressure,corridor_peak,46,30,40.530396581196555,2925,33.38635295800009
max_pressure,corridor_peak,47,30,40.74820170940172,2925,33.55717716699996
max_pressure,corridor_peak,48,30,40.58331510594663,2926,33.43204345900017
max_pressure,corridor_peak,49,30,40.75261107313738,2926,33.393872957999974
max_pressure,corridor_peak,50,30,40.487153110047885,2926,33.96162299999992
max_pressure,corridor_peak,51,30,40.5633116883118,2926,33.50392941700011
green_wave,corridor_peak,42,45,33.570235655737655,2928,30.500647458000003
green_wave,corridor_peak,43,45,33.77769651401238,2926,31.605249459000103
green_wave,corridor_peak,44,45,33.88644565960361,2926,31.389320624999986
green_wave,corridor_peak,45,45,33.83541196581198,2925,31.18466879099992
green_wave,corridor_peak,46,45,33.99519808743169,2928,30.888310708000063
green_wave,corridor_peak,47,45,34.065617094017114,2925,31.17575229199997
green_wave,corridor_peak,48,45,34.136841025641026,2925,31.55733866699984
green_wave,corridor_peak,49,45,33.88514705882361,2924,30.84079041599989
green_wave,corridor_peak,50,45,33.99923103212584,2926,31.544103582999924
green_wave,corridor_peak,51,45,33.77299180327862,2928,31.651006209000116
max_pressure,corridor_peak,42,45,49.39592605272166,2921,37.049199832999875
max_pressure,corridor_peak,43,45,49.73671575342468,2920,37.13693587499984
max_pressure,corridor_peak,44,45,48.99304452054788,2920,36.585087208
max_pressure,corridor_peak,45,45,48.92910304690171,2921,36.8817169580002
