controller,ratio,seed,delay_per_trip,trips
green_wave,0.5,42,28.025515710382535,2928
green_wave,0.5,43,28.501955719557227,2981
green_wave,0.5,44,28.231815080177363,2931
green_wave,0.5,45,28.42168292682915,2870
green_wave,0.5,46,28.602728842832487,2895
green_wave,0.55,42,26.849733879222175,2931
green_wave,0.55,43,27.416596244131462,2982
green_wave,0.55,44,27.209901091405158,2932
green_wave,0.55,45,27.420678969359326,2872
green_wave,0.55,46,27.614179620034648,2895
green_wave,0.6,42,24.85778610354222,2936
green_wave,0.6,43,25.45149513912166,2983
green_wave,0.6,44,25.1441152403683,2933
green_wave,0.6,45,25.40718760877131,2873
green_wave,0.6,46,25.38904137931034,2900
green_wave,0.65,42,22.545918228279362,2935
green_wave,0.65,43,23.38647019423979,2986
green_wave,0.65,44,22.90219346049045,2936
green_wave,0.65,45,23.01898086956525,2875
green_wave,0.65,46,22.965201654601916,2901
green_wave,0.7,42,20.591503401360573,2940
green_wave,0.7,43,21.386768149882922,2989
green_wave,0.7,44,20.824663265306114,2940
green_wave,0.7,45,20.97261383385473,2877
green_wave,0.7,46,20.839703550499845,2901
green_wave,0.75,42,19.55852721088434,2940
green_wave,0.75,43,20.133645484949817,2990
green_wave,0.75,44,19.64869387755105,2940
green_wave,0.75,45,19.740024330900283,2877
green_wave,0.75,46,19.51228965517244,2900
green_wave,0.8,42,19.296725603536203,2941
green_wave,0.8,43,19.823778000668696,2991
green_wave,0.8,44,19.29093537414962,2940
green_wave,0.8,45,19.600201668984706,2876
green_wave,0.8,46,19.257562909341633,2901
green_wave,0.9,42,18.15889908256884,2943
green_wave,0.9,43,18.585965909090906,2992
green_wave,0.9,44,18.124620877252642,2941
green_wave,0.9,45,18.24531108793879,2877
green_wave,0.9,46,17.94535123966943,2904
max_pressure,0.5,42,28.29920245398774,2934
max_pressure,0.5,43,28.668144295301982,2980
max_pressure,0.5,44,28.22617877857384,2931
max_pressure,0.5,45,28.336707317073117,2870
max_pressure,0.5,46,28.867766251728927,2892
max_pressure,0.55,42,28.319250425894392,2935
max_pressure,0.55,43,25.49899328859058,2980
max_pressure,0.55,44,28.064670760832556,2931
max_pressure,0.55,45,27.214650191437542,2873
max_pressure,0.55,46,27.673195164076066,2895
max_pressure,0.6,42,26.46547375596453,2934
max_pressure,0.6,43,26.182771447721173,2984
max_pressure,0.6,44,23.989280845262382,2934
max_pressure,0.6,45,25.265947075208874,2872
max_pressure,0.6,46,25.6809081491713,2896
max_pressure,0.65,42,26.594671433435558,2937
max_pressure,0.65,43,25.93013739946381,2984
max_pressure,0.65,44,22.700013623978194,2936
max_pressure,0.65,45,23.011729297146815,2874
max_pressure,0.65,46,23.07330917874392,2898
max_pressure,0.7,42,23.96002384196184,2936
max_pressure,0.7,43,22.737923076923085,2990
max_pressure,0.7,44,21.835751700680326,2940
max_pressure,0.7,45,19.200581476323073,2872
max_pressure,0.7,46,19.397428374180137,2897
max_pressure,0.75,42,25.786508694169786,2933
max_pressure,0.75,43,22.61732865262457,2991
max_pressure,0.75,44,22.683031643416115,2939
max_pressure,0.75,45,18.824778976679433,2873
max_pressure,0.75,46,19.335912383580563,2899
max_pressure,0.8,42,24.446723433242468,2936
max_pressure,0.8,43,24.67855038500166,2987
max_pressure,0.8,44,24.33028269754763,2936
max_pressure,0.8,45,19.489933820968265,2871
max_pressure,0.8,46,21.557363886974496,2902
max_pressure,0.9,42,24.85939331970005,2934
max_pressure,0.9,43,27.988270197787465,2983
max_pressure,0.9,44,28.25356655290109,2930
max_pressure,0.9,45,27.288582869080855,2872
max_pressure,0.9,46,27.901924671734584,2894
idqn,0.5,42,17.280591032608687,2944
idqn,0.5,43,17.39473578595318,2990
idqn,0.5,44,17.016021174863365,2928
idqn,0.55,42,17.22732993197277,2940
idqn,0.55,43,17.327299732977334,2996
idqn,0.55,44,17.04997279836794,2941
idqn,0.6,42,17.601702923181524,2942
idqn,0.6,43,17.76829716193655,2995
idqn,0.6,44,16.833533809038375,2943
idqn,0.65,42,17.735650102110306,2938
idqn,0.65,43,17.888401872283538,2991
idqn,0.65,44,17.264800817160367,2937
idqn,0.7,42,17.945062946580432,2939
idqn,0.7,43,18.059334893048128,2992
idqn,0.7,44,17.459588715159736,2942
idqn,0.75,42,17.89800203873596,2943
idqn,0.75,43,17.62980614973265,2992
idqn,0.75,44,17.44944576674599,2941
idqn,0.8,42,17.867874872492298,2941
idqn,0.8,43,17.755616438356135,2993
idqn,0.8,44,17.491021102791045,2938
idqn,0.9,42,18.545978260869607,2944
idqn,0.9,43,18.125298831385646,2995
idqn,0.9,44,17.62510051107327,2935
