controller,ratio,seed,delay_per_trip,trips
green_wave,0.1,42,17.58904891304347,2944
green_wave,0.1,43,18.167431529726098,2994
green_wave,0.1,44,17.578513238289233,2946
green_wave,0.1,45,17.770570633263723,2874
green_wave,0.1,46,17.335631669535303,2905
green_wave,0.2,42,22.959046646237663,2937
green_wave,0.2,43,23.66255190890827,2986
green_wave,0.2,44,23.018229485869977,2937
green_wave,0.2,45,23.26478230581679,2871
green_wave,0.2,46,22.65758109040718,2898
green_wave,0.25,42,22.004054421768714,2940
green_wave,0.25,43,22.553826581854697,2987
green_wave,0.25,44,22.124562776454564,2939
green_wave,0.25,45,22.229710902124648,2871
green_wave,0.25,46,21.7365643325285,2899
green_wave,0.3,42,21.317643854273076,2937
green_wave,0.3,43,21.91472380314702,2987
green_wave,0.3,44,21.438445578231306,2940
green_wave,0.3,45,21.65360849878088,2871
green_wave,0.3,46,20.98280786478096,2899
green_wave,0.35,42,15.65744051665533,2942
green_wave,0.35,43,16.235451203208545,2992
green_wave,0.35,44,15.875215619694416,2945
green_wave,0.35,45,15.94606534584634,2877
green_wave,0.35,46,15.673480206540477,2905
green_wave,0.4,42,14.145438179347819,2944
green_wave,0.4,43,14.258714094856403,2994
green_wave,0.4,44,14.121327223353672,2946
green_wave,0.4,45,14.35814389989573,2877
green_wave,0.4,46,13.788551771585832,2907
green_wave,0.45,42,13.624876061120558,2945
green_wave,0.45,43,13.713017356475302,2996
green_wave,0.45,44,13.601991180461322,2948
green_wave,0.45,45,13.86571230020847,2878
green_wave,0.45,46,13.151124484181599,2908
green_wave,0.5,42,13.444853940217376,2944
green_wave,0.5,43,13.51903236569904,2997
green_wave,0.5,44,13.4506137673788,2949
green_wave,0.5,45,13.734440583738703,2878
green_wave,0.5,46,13.152042640990398,2908
max_pressure,0.1,42,26.384286684782573,2944
max_pressure,0.1,43,24.634152144772116,2984
max_pressure,0.1,44,30.127806209484824,2931
max_pressure,0.1,45,23.601329157967907,2874
max_pressure,0.1,46,27.2566781887314,2893
max_pressure,0.2,42,21.78694972826087,2944
max_pressure,0.2,43,22.3010947438902,2987
max_pressure,0.2,44,21.766482173174897,2945
max_pressure,0.2,45,22.904798050139267,2872
max_pressure,0.2,46,24.16003794411872,2899
max_pressure,0.25,42,20.25224448217313,2945
max_pressure,0.25,43,20.778380187416325,2988
max_pressure,0.25,44,20.309735054347822,2944
max_pressure,0.25,45,23.15286856745481,2876
max_pressure,0.25,46,22.11705172413796,2900
max_pressure,0.3,42,20.515609257998655,2938
max_pressure,0.3,43,20.68102409638556,2988
max_pressure,0.3,44,20.572711518858306,2943
max_pressure,0.3,45,20.282130177514798,2873
max_pressure,0.3,46,21.018492063492086,2898
max_pressure,0.35,42,24.2242619047619,2940
max_pressure,0.35,43,24.288471337579622,2983
max_pressure,0.35,44,22.340153061224477,2940
max_pressure,0.35,45,23.700762004175328,2874
max_pressure,0.35,46,24.55064482758624,2900
max_pressure,0.4,42,25.765968675519236,2937
max_pressure,0.4,43,26.30149564050974,2982
max_pressure,0.4,44,25.154475833900555,2938
max_pressure,0.4,45,22.225570236439466,2876
max_pressure,0.4,46,23.178340220385643,2904
max_pressure,0.45,42,27.787278610354193,2936
max_pressure,0.45,43,28.162895973154267,2980
max_pressure,0.45,44,27.26271272974811,2938
max_pressure,0.45,45,20.992302882945506,2879
max_pressure,0.45,46,21.748628532046844,2902
max_pressure,0.5,42,29.236263623978207,2936
max_pressure,0.5,43,21.888832385413142,2989
max_pressure,0.5,44,28.02202044293018,2935
max_pressure,0.5,45,20.596334841628952,2873
max_pressure,0.5,46,29.392691776088487,2894
idqn,0.1,42,18.08345670628184,2945
idqn,0.1,43,17.6060060160428,2992
idqn,0.1,44,17.912758503401335,2940
idqn,0.2,42,17.31814639105394,2951
idqn,0.2,43,17.217282427475823,2999
idqn,0.2,44,17.021156716417913,2948
idqn,0.25,42,16.866764106050276,2942
idqn,0.25,43,17.080913637879313,2999
idqn,0.25,44,16.84553140916807,2945
idqn,0.3,42,17.060407885792014,2942
idqn,0.3,43,17.37170340681362,2994
idqn,0.3,44,16.919711473184023,2946
idqn,0.35,42,16.809727983678986,2941
idqn,0.35,43,16.769933222036702,2995
idqn,0.35,44,17.05442372881354,2950
idqn,0.4,42,16.645001700101997,2941
idqn,0.4,43,17.558068068068057,2997
idqn,0.4,44,16.76589152542369,2950
idqn,0.45,42,17.142106875425426,2938
idqn,0.45,43,16.93249416472159,2999
idqn,0.45,44,16.82657966101692,2950
idqn,0.5,42,16.951864176570503,2945
idqn,0.5,43,16.49042460715478,2991
idqn,0.5,44,16.244098305084723,2950
