controller,seed,vtype,time_loss
green_wave,42,moto,12.67
green_wave,42,auto,23.04
green_wave,42,auto,14.24
green_wave,42,moto,24.8
green_wave,42,car,7.25
green_wave,42,auto,5.56
green_wave,42,moto,26.8
green_wave,42,moto,11.66
green_wave,42,moto,13.46
green_wave,42,moto,6.62
green_wave,42,auto,22.81
green_wave,42,car,21.1
green_wave,42,auto,1.18
green_wave,42,car,18.65
green_wave,42,moto,15.88
green_wave,42,moto,5.14
green_wave,42,moto,8.15
green_wave,42,car,3.66
green_wave,42,moto,10.25
green_wave,42,moto,13.36
green_wave,42,moto,4.95
green_wave,42,moto,18.55
green_wave,42,moto,6.16
green_wave,42,moto,24.53
green_wave,42,auto,14.98
green_wave,42,moto,4.57
green_wave,42,moto,21.19
green_wave,42,moto,6.7
green_wave,42,moto,23.45
green_wave,42,moto,20.87
green_wave,42,moto,16.68
green_wave,42,moto,5.23
green_wave,42,moto,6.99
green_wave,42,moto,2.42
green_wave,42,moto,1.73
green_wave,42,moto,4.8
green_wave,42,auto,19.37
green_wave,42,moto,17.33
green_wave,42,auto,4.98
green_wave,42,auto,1.72
green_wave,42,moto,3.57
green_wave,42,car,13.82
green_wave,42,moto,16.15
green_wave,42,moto,17.64
green_wave,42,moto,21.33
green_wave,42,auto,19.34
green_wave,42,moto,20.2
green_wave,42,auto,19.88
green_wave,42,moto,10.72
green_wave,42,car,22.14
green_wave,42,auto,20.59
green_wave,42,moto,13.63
green_wave,42,moto,9.77
green_wave,42,auto,7.66
green_wave,42,moto,5.63
green_wave,42,car,4.9
green_wave,42,moto,6.08
green_wave,42,moto,14.2
green_wave,42,moto,20.24
green_wave,42,moto,1.18
green_wave,42,moto,24.96
green_wave,42,moto,19.1
green_wave,42,moto,4.47
green_wave,42,moto,25.34
green_wave,42,car,11.71
green_wave,42,moto,6.31
green_wave,42,auto,8.39
green_wave,42,moto,18.07
green_wave,42,moto,5.91
green_wave,42,moto,26.65
green_wave,42,moto,9.16
green_wave,42,moto,4.93
green_wave,42,auto,20.33
green_wave,42,moto,13.39
green_wave,42,moto,6.85
green_wave,42,auto,4.81
green_wave,42,moto,2.97
green_wave,42,auto,3.8
green_wave,42,moto,1.99
green_wave,42,moto,23.53
green_wave,42,auto,4.1
green_wave,42,car,13.94
green_wave,42,car,2.13
green_wave,42,auto,18.64
green_wave,42,moto,10.3
green_wave,42,moto,21.55
green_wave,42,moto,22.93
green_wave,42,moto,20.73
