controller,span,t,ts,phase,halting,vehicles
green_wave,400,165.0,C3,0,0,5
green_wave,400,165.0,C3_E,-1,0,1
green_wave,400,170.0,C1,1,1,14
green_wave,400,170.0,C2,0,0,0
green_wave,400,170.0,C3,1,0,4
green_wave,400,170.0,C3_E,-1,0,0
green_wave,400,175.0,C1,1,0,9
green_wave,400,175.0,C2,0,0,8
green_wave,400,175.0,C3,1,0,0
green_wave,400,175.0,C3_E,-1,0,2
green_wave,400,180.0,C1,1,0,7
green_wave,400,180.0,C2,0,0,14
green_wave,400,180.0,C3,1,0,0
green_wave,400,180.0,C3_E,-1,0,5
green_wave,400,185.0,C1,0,0,7
green_wave,400,185.0,C2,1,0,14
green_wave,400,185.0,C3,0,0,0
green_wave,400,185.0,C3_E,-1,0,4
green_wave,400,190.0,C1,0,3,9
green_wave,400,190.0,C2,1,0,9
green_wave,400,190.0,C3,0,0,2
green_wave,400,190.0,C3_E,-1,0,2
green_wave,400,195.0,C1,0,6,10
green_wave,400,195.0,C2,1,0,0
green_wave,400,195.0,C3,0,0,12
green_wave,400,195.0,C3_E,-1,0,0
green_wave,400,200.0,C1,1,0,8
green_wave,400,200.0,C2,0,0,0
green_wave,400,200.0,C3,1,0,14
green_wave,400,200.0,C3_E,-1,0,0
green_wave,400,205.0,C1,1,0,5
green_wave,400,205.0,C2,0,0,6
green_wave,400,205.0,C3,1,0,11
green_wave,400,205.0,C3_E,-1,0,3
green_wave,400,210.0,C1,1,0,6
green_wave,400,210.0,C2,0,0,10
green_wave,400,210.0,C3,1,0,5
green_wave,400,210.0,C3_E,-1,0,6
green_wave,400,215.0,C1,0,0,7
green_wave,400,215.0,C2,1,0,10
green_wave,400,215.0,C3,0,4,4
green_wave,400,215.0,C3_E,-1,0,9
green_wave,400,220.0,C1,0,2,8
green_wave,400,220.0,C2,1,0,4
green_wave,400,220.0,C3,0,4,7
green_wave,400,220.0,C3_E,-1,0,7
green_wave,400,225.0,C1,0,4,8
green_wave,400,225.0,C2,1,0,1
green_wave,400,225.0,C3,0,4,13
green_wave,400,225.0,C3_E,-1,0,4
green_wave,400,230.0,C1,1,0,4
green_wave,400,230.0,C2,0,0,0
green_wave,400,230.0,C3,1,0,10
green_wave,400,230.0,C3_E,-1,0,1
green_wave,400,235.0,C1,1,0,4
green_wave,400,235.0,C2,0,0,6
green_wave,400,235.0,C3,1,0,6
green_wave,400,235.0,C3_E,-1,0,6
green_wave,400,240.0,C1,1,0,7
green_wave,400,240.0,C2,0,0,8
green_wave,400,240.0,C3,1,0,2
green_wave,400,240.0,C3_E,-1,0,10
green_wave,400,245.0,C1,0,0,11
green_wave,400,245.0,C2,1,0,6
green_wave,400,245.0,C3,0,1,2
green_wave,400,245.0,C3_E,-1,0,12
green_wave,400,250.0,C1,0,1,13
green_wave,400,250.0,C2,1,0,1
green_wave,400,250.0,C3,0,2,6
green_wave,400,250.0,C3_E,-1,0,7
green_wave,400,255.0,C1,0,5,15
green_wave,400,255.0,C2,1,0,0
green_wave,400,255.0,C3,0,2,10
green_wave,400,255.0,C3_E,-1,0,3
green_wave,400,260.0,C1,1,2,11
green_wave,400,260.0,C2,0,0,0
