controller,seed,incident,no_incident,delta
green_wave,42,14.476447010869569,13.444853940217376,1.0315930706521925
green_wave,43,14.80266933600269,13.51903236569904,1.2836369703036503
green_wave,44,14.52858935232282,13.4506137673788,1.0779755849440207
green_wave,45,15.049805420430848,13.734440583738705,1.3153648366921438
green_wave,46,15.986774415405783,13.152042640990398,2.834731774415385
green_wave,47,13.84136591898223,13.248697689989944,0.5926682289922862
green_wave,48,14.514929340511443,13.468439811701412,1.0464895288100315
green_wave,49,14.275838312829556,13.19464323374342,1.081195079086136
green_wave,50,14.82698983050851,13.598674576271211,1.2283152542372981
green_wave,51,16.238569415081045,13.834651162790712,2.4039182522903335
max_pressure,42,26.67093505610337,29.236263623978207,-2.565328567874836
max_pressure,43,26.45607382550335,21.888832385413146,4.5672414400902035
max_pressure,44,28.639611451942823,28.02202044293018,0.6175910090126422
max_pressure,45,26.214092650644304,20.596334841628952,5.617757809015352
max_pressure,46,28.221982758620708,29.392691776088487,-1.1707090174677788
max_pressure,47,27.76161127895267,27.455510067114083,0.3061012118385875
max_pressure,48,27.652201151371525,26.798433694181305,0.8537674571902194
max_pressure,49,28.545238095238116,27.7552627865962,0.7899753086419139
max_pressure,50,26.612756388415665,25.947034764826217,0.6657216235894481
max_pressure,51,27.362316384180783,28.123305084745763,-0.7609887005649796
