controller,scenario,seed,min_green,delay_per_trip,trips,wall_s
green_wave,corridor_peak,42,5,21.251817872918803,2943,27.667160166000002
green_wave,corridor_peak,43,5,21.849792849983306,2993,27.863029209
green_wave,corridor_peak,44,5,21.353986394557808,2940,27.582120292
green_wave,corridor_peak,45,5,21.313013555787307,2877,27.770103583000008
green_wave,corridor_peak,46,5,21.63837931034486,2900,27.645694667000015
green_wave,corridor_peak,47,5,21.2641876046901,2985,27.803358040999996
green_wave,corridor_peak,48,5,21.194043126684598,2968,28.410440459
green_wave,corridor_peak,49,5,20.97194718309855,2840,29.190487416999986
green_wave,corridor_peak,50,5,21.53198979591841,2940,30.099033915999996
green_wave,corridor_peak,51,5,21.366392516766695,2833,27.708856791999978
max_pressure,corridor_peak,42,5,19.471450017059038,2931,30.197218167000017
max_pressure,corridor_peak,43,5,20.57824532085561,2992,29.811863249999988
max_pressure,corridor_peak,44,5,22.187899045020437,2932,31.94619133399999
max_pressure,corridor_peak,45,5,19.841928297946353,2873,29.353966125
max_pressure,corridor_peak,46,5,18.8399448466046,2901,29.406359624999993
max_pressure,corridor_peak,47,5,23.101827019778707,2983,30.90250766600002
max_pressure,corridor_peak,48,5,20.3867182766745,2971,29.939319375000025
max_pressure,corridor_peak,49,5,18.74561595481818,2833,28.875585416999968
max_pressure,corridor_peak,50,5,22.4984523809524,2940,30.60572270900002
max_pressure,corridor_peak,51,5,19.99587737843553,2838,29.13285975000008
green_wave,corridor_peak,42,10,21.251817872918803,2943,28.387677250000024
green_wave,corridor_peak,43,10,21.849792849983306,2993,29.647455084000057
green_wave,corridor_peak,44,10,21.353986394557808,2940,31.945721166
green_wave,corridor_peak,45,10,21.313013555787307,2877,29.693160583999997
green_wave,corridor_peak,46,10,21.63837931034486,2900,29.714209708999988
green_wave,corridor_peak,47,10,21.2641876046901,2985,29.998724208
green_wave,corridor_peak,48,10,21.194043126684598,2968,30.371720250000067
green_wave,corridor_peak,49,10,20.97194718309855,2840,33.32102370900009
green_wave,corridor_peak,50,10,21.53198979591841,2940,28.759477958999923
green_wave,corridor_peak,51,10,21.366392516766695,2833,28.371743625000022
max_pressure,corridor_peak,42,10,29.236263623978207,2936,32.67022116699991
max_pressure,corridor_peak,43,10,21.888832385413142,2989,33.202040624999995
max_pressure,corridor_peak,44,10,28.02202044293018,2935,39.62562716600007
max_pressure,corridor_peak,45,10,20.596334841628952,2873,33.8182407920001
max_pressure,corridor_peak,46,10,29.392691776088487,2894,33.165232500000116
max_pressure,corridor_peak,47,10,27.455510067114083,2980,32.12122079200003
max_pressure,corridor_peak,48,10,26.798433694181305,2956,32.05275054200001
max_pressure,corridor_peak,49,10,27.755262786596198,2835,29.882275584000126
max_pressure,corridor_peak,50,10,25.947034764826217,2934,30.09773337500019
max_pressure,corridor_peak,51,10,28.123305084745763,2832,29.89623666600005
green_wave,corridor_peak,42,15,35.15858758998974,2917,30.90201454099997
green_wave,corridor_peak,43,15,35.94106483036617,2977,31.608700999999883
green_wave,corridor_peak,44,15,34.72594242631942,2918,30.747473791000175
green_wave,corridor_peak,45,15,35.42495633950399,2863,31.54264575000002
green_wave,corridor_peak,46,15,35.115507447176974,2887,36.07412908299989
green_wave,corridor_peak,47,15,35.00851901716596,2971,35.54076716600002
green_wave,corridor_peak,48,15,35.98825998645906,2954,35.52599054099983
green_wave,corridor_peak,49,15,34.115155586987285,2828,35.51044779099993
green_wave,corridor_peak,50,15,35.50387957577825,2923,36.53765008300002
green_wave,corridor_peak,51,15,34.91849698688412,2821,35.16334733300005
max_pressure,corridor_peak,42,15,20.19246258503401,2940,32.74869512500004
max_pressure,corridor_peak,43,15,20.266522902039476,2991,33.10443787500003
max_pressure,corridor_peak,44,15,18.451156856073542,2939,32.14442895800016
max_pressure,corridor_peak,45,15,19.952274468826193,2871,32.21600854099984
max_pressure,corridor_peak,46,15,18.964086206896553,2900,32.20104033400003
max_pressure,corridor_peak,47,15,18.909326407506693,2984,32.49405345800005
max_pressure,corridor_peak,48,15,19.085179952909535,2973,32.368912292000005
max_pressure,corridor_peak,49,15,18.620320422535215,2840,31.15559875000008
max_pressure,corridor_peak,50,15,20.434838600068005,2943,32.88105362500005
max_pressure,corridor_peak,51,15,19.438641016590193,2833,31.480597833000047
green_wave,corridor_peak,42,20,35.15858758998974,2917,35.555174249999936
green_wave,corridor_peak,43,20,35.94106483036617,2977,36.30901850000009
green_wave,corridor_peak,44,20,34.72594242631942,2918,35.20001987499995
green_wave,corridor_peak,45,20,35.42495633950399,2863,35.58236674999989
green_wave,corridor_peak,46,20,35.115507447176974,2887,35.561817375000146
green_wave,corridor_peak,47,20,35.00851901716596,2971,35.93043008399991
green_wave,corridor_peak,48,20,35.98825998645906,2954,36.23442412500026
green_wave,corridor_peak,49,20,34.115155586987285,2828,34.624930333000066
green_wave,corridor_peak,50,20,35.50387957577825,2923,36.31227987500006
green_wave,corridor_peak,51,20,34.91849698688412,2821,34.6494188329998
max_pressure,corridor_peak,42,20,25.488798224650118,2929,33.98455537500013
max_pressure,corridor_peak,43,20,25.792492442055746,2977,34.75913716700006
max_pressure,corridor_peak,44,20,25.030943781942067,2935,33.926723958000366
max_pressure,corridor_peak,45,20,25.58574712643682,2871,34.75241987499976
max_pressure,corridor_peak,46,20,25.67060020696784,2899,34.349717000000055
max_pressure,corridor_peak,47,20,24.672431886982835,2973,34.54960349999965
max_pressure,corridor_peak,48,20,26.37099662162166,2960,35.30607612499989
max_pressure,corridor_peak,49,20,24.769738238415282,2827,34.59876220800015
max_pressure,corridor_peak,50,20,24.614938775510215,2940,36.956627749999825
max_pressure,corridor_peak,51,20,25.538753090780634,2831,34.72231524999961
green_wave,corridor_peak,42,25,36.54089102124748,2918,36.16054508299976
green_wave,corridor_peak,43,25,37.207673716012046,2979,35.74620483300032
green_wave,corridor_peak,44,25,36.88275273224037,2928,32.914726625000185
green_wave,corridor_peak,45,25,37.14063480990579,2867,32.07951358399987
green_wave,corridor_peak,46,25,36.790805670816034,2892,32.03384970800016
green_wave,corridor_peak,47,25,36.33902693602697,2970,32.69232479200036
green_wave,corridor_peak,48,25,36.96609269282816,2956,32.820568084000115
green_wave,corridor_peak,49,25,36.01678067700993,2836,30.723796292000316
green_wave,corridor_peak,50,25,37.02146316507491,2932,31.61715366699991
green_wave,corridor_peak,51,25,36.920233793836374,2823,31.600280333000228
max_pressure,corridor_peak,42,25,33.310477164280854,2934,33.01771166699973
max_pressure,corridor_peak,43,25,33.85327540106939,2992,34.87395612499995
max_pressure,corridor_peak,44,25,32.83470126322977,2929,33.31441458300014
max_pressure,corridor_peak,45,25,33.61636363636357,2871,32.33423712499962
max_pressure,corridor_peak,46,25,33.34672407853945,2903,32.648141125000166
max_pressure,corridor_peak,47,25,32.60443402545213,2986,34.78767991599989
max_pressure,corridor_peak,48,25,32.95358662613971,2961,37.40443037499972
max_pressure,corridor_peak,49,25,32.341061511423526,2845,33.37098425000022
max_pressure,corridor_peak,50,25,33.496219802654046,2939,34.91780620899999
max_pressure,corridor_peak,51,25,33.0647372134039,2835,35.00685075000001
green_wave,corridor_peak,42,30,36.40063931623931,2925,34.91065254100022
green_wave,corridor_peak,43,30,37.219674714956426,2982,34.395804291999866
green_wave,corridor_peak,44,30,36.200453770044426,2931,34.37672204199998
green_wave,corridor_peak,45,30,37.42980487804883,2870,33.21040466699969
green_wave,corridor_peak,46,30,37.124901554404126,2895,31.576091459000054
green_wave,corridor_peak,47,30,36.10696572580649,2976,32.20552545800001
green_wave,corridor_peak,48,30,37.0436671177266,2956,32.12141083400002
green_wave,corridor_peak,49,30,35.56603533568909,2830,31.189974667000115
green_wave,corridor_peak,50,30,37.04607556160654,2938,32.39230483399979
green_wave,corridor_peak,51,30,36.53744161358816,2826,31.792617000000064
max_pressure,corridor_peak,42,30,40.431310463121854,2915,34.88699979199964
max_pressure,corridor_peak,43,30,41.42150218928925,2969,36.48149537499967
max_pressure,corridor_peak,44,30,40.380537487161945,2921,39.88488554100013
max_pressure,corridor_peak,45,30,40.94883257602242,2861,34.44691924999961
max_pressure,corridor_peak,46,30,40.86715176715174,2886,34.900578332999885
max_pressure,corridor_peak,47,30,40.306271072151,2966,35.306266499999765
max_pressure,corridor_peak,48,30,40.88636733310746,2951,36.6281408750001
max_pressure,corridor_peak,49,30,40.23640353982297,2825,35.75791574999994
max_pressure,corridor_peak,50,30,40.319504781420704,2928,35.713531041999886
max_pressure,corridor_peak,51,30,40.94317003904859,2817,34.94236662499998
green_wave,corridor_peak,42,45,33.85961591220851,2916,31.044486917000086
green_wave,corridor_peak,43,45,35.09893073301947,2974,32.220251333000306
green_wave,corridor_peak,44,45,34.24602401372212,2915,30.84647758300025
green_wave,corridor_peak,45,45,33.64654666200626,2861,30.364120791999994
green_wave,corridor_peak,46,45,34.607193347193366,2886,31.437519874999907
green_wave,corridor_peak,47,45,34.150926549865225,2968,31.66861529100015
green_wave,corridor_peak,48,45,34.29097255167738,2951,31.47800025000015
green_wave,corridor_peak,49,45,33.412349610757246,2826,32.94634154200048
green_wave,corridor_peak,50,45,34.711057298772154,2932,31.9974697079997
green_wave,corridor_peak,51,45,34.396068012752316,2823,30.396017582999775
max_pressure,corridor_peak,42,45,48.64314305364511,2908,38.66416887500054
max_pressure,corridor_peak,43,45,50.15985502360087,2966,39.576434667000285
max_pressure,corridor_peak,44,45,48.02490747087052,2918,38.23373562500001
max_pressure,corridor_peak,45,45,50.18849737302976,2855,39.26357737499984
max_pressure,corridor_peak,46,45,50.827185545517644,2878,37.48514020899984
max_pressure,corridor_peak,47,45,49.008500168520236,2967,37.2254612910001
max_pressure,corridor_peak,48,45,50.45972156196941,2945,37.624551625000095
max_pressure,corridor_peak,49,45,48.103028368794405,2820,35.55916162500034
max_pressure,corridor_peak,50,45,49.83396445659594,2926,37.78211791600006
max_pressure,corridor_peak,51,45,49.529313899751195,2813,36.262677125000664
green_wave,corridor_peak,42,60,35.92873278236913,2904,31.319795749999685
green_wave,corridor_peak,43,60,36.86319055649242,2965,31.988083291000294
green_wave,corridor_peak,44,60,35.924419243986236,2910,31.347056040999632
green_wave,corridor_peak,45,60,37.034926367461466,2852,31.32155120800053
green_wave,corridor_peak,46,60,35.62059680777247,2882,31.549627749999672
green_wave,corridor_peak,47,60,35.92625126646407,2961,31.843453041999965
green_wave,corridor_peak,48,60,36.47735823429544,2945,31.574432417000025
green_wave,corridor_peak,49,60,35.41923431407303,2821,30.319009292000374
green_wave,corridor_peak,50,60,36.38774503084301,2918,31.52563058299984
green_wave,corridor_peak,51,60,36.50770241477275,2816,32.746679082999435
max_pressure,corridor_peak,42,60,39.19419587628873,2910,35.555915624999216
max_pressure,corridor_peak,43,60,39.862176687940895,2977,43.495367042
