controller,ratio,seed,delay_per_trip,trips
green_wave,0.5,42,13.444853940217376,2944
green_wave,0.5,43,13.51903236569904,2997
green_wave,0.5,44,13.4506137673788,2949
green_wave,0.5,45,13.734440583738703,2878
green_wave,0.5,46,13.152042640990398,2908
green_wave,0.55,42,30.695047814207673,2928
green_wave,0.55,43,31.490691275167794,2980
green_wave,0.55,44,31.057145783543834,2929
green_wave,0.55,45,31.349657940663167,2865
green_wave,0.55,46,31.272665053577605,2893
green_wave,0.6,42,30.58777511961723,2926
green_wave,0.6,43,31.41790268456372,2980
green_wave,0.6,44,30.961625128030075,2929
green_wave,0.6,45,31.125619546247798,2865
green_wave,0.6,46,31.003104044244694,2893
green_wave,0.65,42,28.69958020477808,2930
green_wave,0.65,43,29.57202952029512,2981
green_wave,0.65,44,29.193158253751665,2932
green_wave,0.65,45,29.580439637124947,2866
green_wave,0.65,46,29.17939163498093,2893
green_wave,0.7,42,24.674757844474723,2932
green_wave,0.7,43,25.69025125628139,2985
green_wave,0.7,44,24.912837193460458,2936
green_wave,0.7,45,25.17141811846679,2870
green_wave,0.7,46,24.8236012418075,2899
green_wave,0.75,42,20.28380660537967,2937
green_wave,0.75,43,21.0509939759036,2988
green_wave,0.75,44,20.66862538278327,2939
green_wave,0.75,45,20.679996518105817,2872
green_wave,0.75,46,20.39723294279804,2902
green_wave,0.8,42,16.770632008154955,2943
green_wave,0.8,43,17.53957901770797,2993
green_wave,0.8,44,17.06018336162995,2945
green_wave,0.8,45,17.01897739130439,2875
green_wave,0.8,46,16.879090909090934,2904
green_wave,0.9,42,13.926492359932082,2945
green_wave,0.9,43,14.433960627293978,2997
green_wave,0.9,44,14.085899524779341,2946
green_wave,0.9,45,14.261841556636549,2878
green_wave,0.9,46,13.804890034364284,2910
max_pressure,0.5,42,29.236263623978207,2936
max_pressure,0.5,43,21.888832385413142,2989
max_pressure,0.5,44,28.02202044293018,2935
max_pressure,0.5,45,20.596334841628952,2873
max_pressure,0.5,46,29.392691776088487,2894
max_pressure,0.55,42,21.157526333673136,2943
max_pressure,0.55,43,21.58497494153024,2993
max_pressure,0.55,44,27.21124062713023,2934
max_pressure,0.55,45,27.790925539317993,2874
max_pressure,0.55,46,28.39081519861843,2895
max_pressure,0.6,42,22.17150475543479,2944
max_pressure,0.6,43,22.672012704781007,2991
max_pressure,0.6,44,25.05912185159969,2938
max_pressure,0.6,45,25.780790114862516,2873
max_pressure,0.6,46,26.332771832930614,2897
max_pressure,0.65,42,23.969588715159745,2942
max_pressure,0.65,43,21.693503014065644,2986
max_pressure,0.65,44,20.439452380952446,2940
max_pressure,0.65,45,22.693069686411167,2870
max_pressure,0.65,46,24.247050707140463,2899
max_pressure,0.7,42,20.54186078098473,2945
max_pressure,0.7,43,20.679789579158275,2994
max_pressure,0.7,44,21.076684801088113,2941
max_pressure,0.7,45,20.681258692628656,2876
max_pressure,0.7,46,20.41488107549121,2901
max_pressure,0.75,42,20.899867392043536,2941
max_pressure,0.75,43,22.451430003341112,2993
max_pressure,0.75,44,22.101574294457677,2941
max_pressure,0.75,45,20.591890010442015,2873
max_pressure,0.75,46,20.6192707258342,2907
max_pressure,0.8,42,23.934436499829765,2937
max_pressure,0.8,43,22.84223040857334,2986
max_pressure,0.8,44,23.54240734444069,2941
max_pressure,0.8,45,22.44865900383151,2871
max_pressure,0.8,46,21.86423355149845,2903
max_pressure,0.9,42,24.048330494037515,2935
max_pressure,0.9,43,23.573154901304772,2989
max_pressure,0.9,44,26.063526208304992,2938
max_pressure,0.9,45,23.978631138975963,2871
max_pressure,0.9,46,27.395844245348083,2902
idqn,0.5,42,16.951864176570503,2945
idqn,0.5,43,16.49042460715478,2991
idqn,0.5,44,16.244098305084723,2950
idqn,0.55,42,16.771945670628202,2945
idqn,0.55,43,16.943206285523228,2991
idqn,0.55,44,17.052911994563345,2943
idqn,0.6,42,16.85929567880232,2939
idqn,0.6,43,17.334349566377593,2998
idqn,0.6,44,16.8428013582343,2945
idqn,0.65,42,17.101488640217006,2949
idqn,0.65,43,16.832144288577176,2994
idqn,0.65,44,16.561314984709526,2943
idqn,0.7,42,17.407178789938758,2942
idqn,0.7,43,17.28221776887106,2994
idqn,0.7,44,16.602799864084307,2943
idqn,0.75,42,17.260200000000047,2950
idqn,0.75,43,17.288845126835813,2996
idqn,0.75,44,17.23552765524261,2947
idqn,0.8,42,17.698777589134206,2945
idqn,0.8,43,17.308121454788076,2997
idqn,0.8,44,16.91058384249832,2946
idqn,0.9,42,17.766690451919832,2943
idqn,0.9,43,17.890830000000022,3000
idqn,0.9,44,17.868794277929165,2936
