controller,scenario,seed,min_green,delay_per_trip,trips,wall_s
green_wave,corridor_tidal,47,25,32.89136855781727,2309,25.9117275829999
green_wave,corridor_tidal,48,25,33.585357927097036,2277,25.89578474999962
green_wave,corridor_tidal,49,25,31.892838827838855,2184,24.058107290999946
green_wave,corridor_tidal,50,25,33.451817371937594,2245,25.45349691699994
green_wave,corridor_tidal,51,25,31.92099074074066,2160,24.616252458000417
max_pressure,corridor_tidal,42,25,30.28816091954024,2262,26.268436374999965
max_pressure,corridor_tidal,43,25,29.218326797385615,2295,25.603042749999982
max_pressure,corridor_tidal,44,25,30.125157707685453,2251,25.82659191699986
max_pressure,corridor_tidal,45,25,29.503858232391163,2229,25.292734999999993
max_pressure,corridor_tidal,46,25,29.837962625341905,2194,25.213435582999864
max_pressure,corridor_tidal,47,25,30.09244291253769,2321,26.286325499999748
max_pressure,corridor_tidal,48,25,30.23786437692644,2271,26.43003887499981
max_pressure,corridor_tidal,49,25,29.007274805669827,2187,25.527185875000217
max_pressure,corridor_tidal,50,25,30.340995113283064,2251,25.50663908300021
max_pressure,corridor_tidal,51,25,28.923489125404856,2161,24.72880429099996
green_wave,corridor_tidal,42,30,32.59535223748342,2257,24.62924366700008
green_wave,corridor_tidal,43,30,32.87534761696542,2287,24.844154166999942
green_wave,corridor_tidal,44,30,33.50498219056095,2246,25.171775333999904
green_wave,corridor_tidal,45,30,32.2728088367899,2218,25.00942275000034
green_wave,corridor_tidal,46,30,32.896424988600025,2193,25.07296370799986
green_wave,corridor_tidal,47,30,32.87674035543995,2307,25.417230250000102
green_wave,corridor_tidal,48,30,33.308481514084505,2272,25.648918500000036
green_wave,corridor_tidal,49,30,32.39841044434266,2183,24.60899691700024
green_wave,corridor_tidal,50,30,33.33246434937616,2244,25.19089733299961
green_wave,corridor_tidal,51,30,32.0249953703704,2160,23.97388633299988
max_pressure,corridor_tidal,42,30,36.39641207815277,2252,27.26914666599987
max_pressure,corridor_tidal,43,30,36.86938677179144,2283,27.251205540999763
max_pressure,corridor_tidal,44,30,37.37592691622096,2244,27.40397370899973
max_pressure,corridor_tidal,45,30,36.1037065462754,2215,26.72888799999964
max_pressure,corridor_tidal,46,30,36.70302794319742,2183,29.20056841699989
max_pressure,corridor_tidal,47,30,36.843518921270146,2299,28.319297458000165
max_pressure,corridor_tidal,48,30,37.37395851721104,2266,28.18188462499984
max_pressure,corridor_tidal,49,30,36.14929292929293,2178,27.11821008300012
max_pressure,corridor_tidal,50,30,37.34677549194992,2236,27.839404667000053
max_pressure,corridor_tidal,51,30,35.252102088167085,2155,26.619337541999812
green_wave,corridor_tidal,42,45,32.03301065719356,2252,24.799067667000145
green_wave,corridor_tidal,43,45,31.530026269702308,2284,24.667424292000305
green_wave,corridor_tidal,44,45,31.85854723707667,2244,25.159175166000296
green_wave,corridor_tidal,45,45,31.783851015801325,2215,24.88647812499994
