min_green,seed,delay,completed
10,42,407.7081102603364,3265
10,43,399.9962330623308,2952
10,44,884.1843077689231,2008
10,45,404.97685228604917,3412
10,46,490.5942489126804,2989
20,42,542.7158516196444,2871
20,43,108.49684311838297,4156
20,44,391.9083438395398,3490
20,45,540.5492041032895,2827
20,46,101.53268956743003,3930
30,42,54.6776031481041,4193
30,43,157.13440641455244,4178
30,44,134.30534665679775,4053
30,45,251.5704205318491,3234
30,46,332.9166290625839,3723
45,42,262.2819074522466,3717
45,43,158.26497507477515,4012
45,44,151.59606864654333,4108
45,45,83.09845524542857,4156
45,46,154.4201554907682,4116
60,42,73.0111659085469,4177
60,43,83.06501205981667,4146
60,44,81.53964748201437,4170
60,45,75.76090535972938,4142
60,46,99.09090426814555,4147
75,42,91.87461295034069,4108
75,43,90.61056900726386,4130
75,44,92.78133704061895,4136
75,45,92.82765983406539,4098
75,46,92.6911544991507,4123
90,42,93.28181862506088,4102
90,43,138.91123688155918,4002
90,44,148.10819148936136,4042
90,45,111.12932738853509,3925
90,46,101.99658655013376,4119
